date,ticker,open,high,low,close,volume
2024-05-03,NVDA,87.79,89.28,87.04,88.79,398161620
2024-05-06,NVDA,89.39,92.22,89.06,92.14,376053800
2024-05-07,NVDA,91.1,91.78,89.01,90.55,437196310
2024-05-08,NVDA,89.48,91.19,89.42,90.41,325421020
2024-05-09,NVDA,90.53,91.07,88.23,88.75,378012680
2024-05-10,NVDA,90.3,91.4,89.23,89.88,335325410
2024-05-13,NVDA,90.48,91.0,88.53,90.4,289461170
2024-05-14,NVDA,89.6,91.65,88.93,91.36,296377080
2024-05-15,NVDA,92.47,94.86,91.6,94.63,417731700
2024-05-16,NVDA,94.91,95.82,94.1,94.36,323882600
2024-05-17,NVDA,94.37,94.74,91.81,92.48,358098500
2024-05-20,NVDA,93.75,95.2,93.44,94.78,318732460
2024-05-21,NVDA,93.6,95.4,93.18,95.39,328826960
2024-05-22,NVDA,95.46,96.02,93.25,94.95,547269190
2024-05-23,NVDA,102.03,106.32,101.52,103.8,834956280
2024-05-24,NVDA,104.45,106.47,103.0,106.47,428276070
2024-05-28,NVDA,110.24,114.94,109.88,113.9,652354890
2024-05-29,NVDA,113.05,115.49,110.9,114.83,557141930
2024-05-30,NVDA,114.65,115.82,109.66,110.5,483250330
2024-05-31,NVDA,112.52,112.72,106.94,109.63,610639750
2024-06-03,NVDA,113.62,115.0,112.0,115.0,438385760
2024-06-04,NVDA,115.72,116.6,114.05,116.44,402390010
2024-06-05,NVDA,118.37,122.45,117.47,122.44,528401780
2024-06-06,NVDA,124.05,125.59,118.32,121.0,663519790
2024-06-07,NVDA,119.77,121.69,118.02,120.89,412263200
2024-06-10,NVDA,120.37,195.95,117.01,121.79,314157461
2024-06-11,NVDA,121.77,122.87,118.74,120.91,222551158
2024-06-12,NVDA,123.06,126.88,122.57,125.2,299595001
2024-06-13,NVDA,129.39,129.8,127.16,129.61,260644537
2024-06-14,NVDA,129.96,132.84,128.32,131.88,309320376
2024-06-17,NVDA,132.99,133.73,129.58,130.98,288504444
2024-06-18,NVDA,131.14,136.33,130.69,135.58,294335054
2024-06-20,NVDA,139.8,140.76,129.52,130.78,517420725
2024-06-21,NVDA,127.12,130.63,124.3,126.57,655484664
2024-06-24,NVDA,123.24,124.46,118.04,118.11,475090666
2024-06-25,NVDA,121.2,126.5,119.32,126.09,425381456
2024-06-26,NVDA,126.13,128.12,122.6,126.4,362960318
2024-06-27,NVDA,124.1,126.41,122.92,123.99,252450593
2024-06-28,NVDA,124.58,127.71,122.75,123.54,315510540
2024-07-01,NVDA,123.47,124.84,118.83,124.3,284804398
2024-07-02,NVDA,121.13,123.41,121.03,122.67,217141469
2024-07-03,NVDA,121.66,128.28,121.36,128.28,215648955
2024-07-05,NVDA,127.38,128.85,125.68,125.83,214176689
2024-07-08,NVDA,127.49,130.77,127.04,128.2,237586322
2024-07-09,NVDA,130.35,133.82,128.65,131.38,287020820
2024-07-10,NVDA,134.03,135.1,132.42,134.91,248978569
2024-07-11,NVDA,135.75,136.15,127.05,127.4,373156088
2024-07-12,NVDA,128.26,131.92,127.22,129.24,252674535
2024-07-15,NVDA,130.56,131.39,127.18,128.44,207788164
2024-07-16,NVDA,128.44,129.04,124.58,126.36,214720615
2024-07-17,NVDA,121.35,121.85,116.72,117.99,389973989
2024-07-18,NVDA,121.85,122.4,116.56,121.09,320930830
2024-07-19,NVDA,120.35,121.6,117.37,117.93,217223800
2024-07-22,NVDA,120.35,124.07,119.86,123.54,258045693
2024-07-23,NVDA,122.78,124.69,122.1,122.59,173906183
2024-07-24,NVDA,119.17,119.95,113.44,114.25,327776884
2024-07-25,NVDA,113.04,116.63,106.3,112.28,457439119
2024-07-26,NVDA,116.19,116.2,111.58,113.06,291106073
2024-07-29,NVDA,113.69,116.28,111.3,111.59,248147118
2024-07-30,NVDA,111.52,111.99,102.54,103.73,486492918
2024-07-31,NVDA,112.9,118.34,110.88,117.02,472922582
2024-08-01,NVDA,117.53,120.16,106.81,109.21,523413526
2024-08-02,NVDA,103.76,108.72,101.37,107.27,481699964
2024-08-05,NVDA,92.06,103.41,90.69,100.45,552840342
2024-08-06,NVDA,103.84,107.71,100.55,104.25,409012089
2024-08-07,NVDA,107.81,108.8,98.69,98.91,411433623
2024-08-08,NVDA,102.0,105.5,97.52,104.97,391910023
2024-08-09,NVDA,105.64,106.6,103.43,104.75,290620407
2024-08-12,NVDA,106.32,111.07,106.26,109.02,325545870
2024-08-13,NVDA,112.44,116.23,111.58,116.14,312646660
2024-08-14,NVDA,118.53,118.6,114.07,118.08,339078657
2024-08-15,NVDA,118.76,123.24,117.47,122.86,318069573
2024-08-16,NVDA,121.94,125.0,121.18,124.58,302589872
2024-08-19,NVDA,124.28,130.0,123.42,130.0,318321577
2024-08-20,NVDA,128.4,129.88,125.89,127.25,300085915
2024-08-21,NVDA,127.31,129.35,126.66,128.5,257822622
2024-08-22,NVDA,130.02,130.75,123.1,123.74,376133876
2024-08-23,NVDA,125.86,129.6,125.22,129.37,323155332
2024-08-26,NVDA,129.57,131.26,124.37,126.46,331907172
2024-08-27,NVDA,125.05,129.2,123.88,128.3,302834073
2024-08-28,NVDA,128.12,128.33,122.64,125.61,447901465
2024-08-29,NVDA,121.36,124.43,116.71,117.59,452965405
2024-08-30,NVDA,119.53,121.75,117.22,119.37,333580583
2024-09-03,NVDA,116.01,116.21,107.29,108.0,477137100
2024-09-04,NVDA,105.41,113.27,104.12,106.21,372087666
2024-09-05,NVDA,104.98,109.65,104.76,107.21,306784696
2024-09-06,NVDA,108.04,108.15,100.95,102.83,413518098
2024-09-09,NVDA,104.88,106.55,103.69,106.47,273912015
2024-09-10,NVDA,107.81,109.4,104.95,108.1,268132646
2024-09-11,NVDA,109.39,117.19,107.42,116.91,441320370
2024-09-12,NVDA,116.84,120.79,115.38,119.14,366600496
2024-09-13,NVDA,119.08,119.95,117.6,119.1,238281625
2024-09-16,NVDA,116.79,118.18,114.36,116.78,248573278
2024-09-17,NVDA,118.17,118.8,114.83,115.59,231916876
2024-09-18,NVDA,115.89,117.7,113.22,113.37,310103387
2024-09-19,NVDA,117.35,119.66,117.25,117.87,293471883
2024-09-20,NVDA,117.06,118.62,115.39,116.0,382335024
2024-09-23,NVDA,116.55,116.99,114.86,116.26,206228490
2024-09-24,NVDA,116.52,121.8,115.38,120.87,354834772
2024-09-25,NVDA,122.02,124.94,121.61,123.51,284124348
2024-09-26,NVDA,126.8,127.67,121.8,124.04,302555868
2024-09-27,NVDA,123.97,124.03,119.26,121.4,270822175
2024-09-30,NVDA,118.31,121.5,118.15,121.44,227011633
2024-10-01,NVDA,121.77,122.44,115.79,117.0,301394485
2024-10-02,NVDA,116.44,119.38,115.14,118.85,221821887
2024-10-03,NVDA,120.92,124.36,120.34,122.85,277109873
2024-10-04,NVDA,124.94,125.04,121.83,124.92,244465552
2024-10-07,NVDA,124.99,130.64,124.95,127.72,346129233
2024-10-08,NVDA,130.26,133.48,129.42,132.89,285722485
2024-10-09,NVDA,134.11,134.52,131.38,132.65,245598762
2024-10-10,NVDA,131.91,135.0,131.0,134.81,242311337
2024-10-11,NVDA,134.01,135.78,133.66,134.8,170186254
2024-10-14,NVDA,136.47,139.6,136.3,138.07,232347668
2024-10-15,NVDA,137.87,138.57,128.74,131.6,377750221
2024-10-16,NVDA,133.98,136.62,131.58,135.72,264863170
2024-10-17,NVDA,139.34,140.89,136.87,136.93,303995921
2024-10-18,NVDA,138.66,138.9,137.28,138.0,176007854
2024-10-21,NVDA,138.13,143.71,138.0,143.71,264516114
2024-10-22,NVDA,142.91,144.42,141.78,143.59,226311589
2024-10-23,NVDA,142.03,142.43,137.46,139.56,285917538
2024-10-24,NVDA,140.82,141.35,138.46,140.41,172354817
2024-10-25,NVDA,140.93,144.13,140.8,141.54,202730559
2024-10-28,NVDA,143.0,143.14,140.05,140.52,173586745
2024-10-29,NVDA,140.28,142.26,138.9,141.25,157593634
2024-10-30,NVDA,139.54,140.33,136.81,139.34,179308582
2024-10-31,NVDA,137.6,137.61,132.11,132.76,270039641
2024-11-01,NVDA,134.7,137.31,134.57,135.4,207127838
2024-11-04,NVDA,137.21,138.96,135.57,136.05,187504773
2024-11-05,NVDA,137.45,140.37,137.33,139.91,160427873
2024-11-06,NVDA,142.96,146.49,141.96,145.61,242043691
2024-11-07,NVDA,146.39,148.93,146.17,148.88,207323303
2024-11-08,NVDA,148.77,149.77,146.26,147.63,175580530
2024-11-11,NVDA,148.68,148.85,143.57,145.26,182325620
2024-11-12,NVDA,146.78,149.65,146.01,148.29,198634738
2024-11-13,NVDA,149.07,149.33,145.9,146.27,191903267
2024-11-14,NVDA,147.64,149.0,145.55,146.76,194388301
2024-11-15,NVDA,144.87,145.24,140.08,141.98,250032869
2024-11-18,NVDA,139.5,141.55,137.15,140.15,221859993
2024-11-19,NVDA,141.32,147.13,140.99,147.01,227821412
2024-11-20,NVDA,147.41,147.56,142.73,145.89,309821654
2024-11-21,NVDA,149.35,152.89,140.7,146.67,400416570
2024-11-22,NVDA,145.93,147.16,141.1,141.95,235598654
2024-11-25,NVDA,141.99,142.05,135.82,136.02,344941875
2024-11-26,NVDA,137.7,139.3,135.67,136.92,190283654
2024-11-27,NVDA,135.01,137.22,131.8,135.34,226090912
2024-11-29,NVDA,136.78,139.35,136.05,138.25,141863156
